date,LME_Copper
2003-12-11,0.012131890259249937
2003-12-12,0.013021226612970886
2003-12-15,0.01951505998825405
2003-12-16,0.013625304136253041
2003-12-17,0.01280308750734122
2003-12-18,0.011947311016024835
2003-12-19,0.014682439801996811
2003-12-22,0.01053779679503314
2003-12-23,0.006577733031294572
2003-12-26,0.009145062505243728
2003-12-29,0.007785888077858881
2003-12-30,0.00963168051010991
2003-12-31,0.00971558016612132
2004-01-02,0.01604161422938166
2004-01-05,0.017652487624800737
2004-01-06,0.025471935565064184
2004-01-07,0.028475543250272673
2004-01-08,0.01887742260256733
2004-01-09,0.01887742260256733
2004-01-12,0.024851078110579745
2004-01-13,0.026143132813155466
2004-01-14,0.031026092793019548
2004-01-15,0.021679671113348436
2004-01-16,0.011544592667170065
2004-01-20,0.018944542327376458
2004-01-21,0.017367228794361943
2004-01-22,0.00859132477556842
2004-01-29,0.021595771457337026
2004-01-30,0.020001677993120227
2004-02-02,0.022871046228710463
2004-02-03,0.018441144391307996
2004-02-04,0.019716419162681433
2004-02-05,0.020370836479570435
2004-02-06,0.017736387280812147
2004-02-09,0.034231059652655424
2004-02-10,0.022401208155046565
2004-02-11,0.028744022149509187
2004-02-12,0.017887406661632688
2004-02-13,0.04441647789244064
2004-02-17,0.04460105713566574
2004-02-18,0.03392902089101435
2004-02-19,0.0296669183656347
2004-02-20,0.016662471683866097
2004-02-23,0.01686383085829348
2004-02-24,0.045943451631848306
2004-02-25,0.03815756355398943
2004-02-26,0.02228374863663059
2004-02-27,0.02374360265122913
2004-03-01,0.030774393824985317
2004-03-02,0.03795620437956204
2004-03-03,0.031865089353133653
2004-03-04,0.021730010906955283
2004-03-05,0.03226780770198842
2004-03-08,0.030740833962580753
2004-03-09,0.02219984898061918
2004-03-10,0.03355986240456414
2004-03-11,0.031747629834717676
2004-03-12,0.01969963923147915
2004-03-15,0.02032049668596359
2004-03-16,0.020303716754761305
2004-03-17,0.022652907123080795
2004-03-18,0.01995133819951338
2004-03-19,0.01921302122661297
2004-03-22,0.03768772548032553
2004-03-23,0.019095561708196998
2004-03-24,0.027754006208574544
2004-03-25,0.018105545767262355
2004-03-26,0.011443913079956371
2004-03-29,0.018927762396174174
2004-03-30,0.027535867102944877
2004-03-31,0.030254215957714572
2004-04-01,0.020454736135581846
2004-04-02,0.03337528316133904
2004-04-05,0.02293816595351959
2004-04-06,0.02543837570265962
2004-04-07,0.01904522191459015
2004-04-12,0.01800486618004866
2004-04-13,0.017719607349609867
2004-04-14,0.0186257236345331
2004-04-15,0.023408004027183488
2004-04-16,0.018206225354476045
2004-04-19,0.031009312861817268
2004-04-20,0.06549207148250692
2004-04-21,0.023122745196744694
2004-04-22,0.01790418659283497
2004-04-23,0.02001845792432251
2004-04-26,0.010470677070224012
2004-04-27,0.03559023408004027
2004-04-28,0.01855860390972397
2004-04-29,0.015101938082053864
2004-05-03,0.01491735883882876
2004-05-04,0.020974914002852587
2004-05-05,0.028156724557429316
2004-05-06,0.017602147831193894
2004-05-07,0.03951673798137428
2004-05-10,0.02552227535867103
2004-05-11,0.02260256732947395
2004-05-12,0.01872640322174679
2004-05-13,0.019498280057051766
2004-05-14,0.03062337444416478
2004-05-17,0.019565399781860893
2004-05-18,0.03458343820790335
2004-05-19,0.02696534944206729
2004-05-20,0.03523785552479235
2004-05-21,0.02099169393405487
2004-05-24,0.021344072489302795
2004-05-25,0.03364376206057555
2004-05-26,0.033073244399697964
2004-05-27,0.01458176021478312
2004-05-28,0.027082808960483262
2004-06-01,0.022266968705428308
2004-06-02,0.02352546354559946
2004-06-03,0.025589395083480158
2004-06-04,0.025471935565064184
2004-06-07,0.030757613893783037
2004-06-08,0.038107223760382586
2004-06-09,0.04090947227116369
2004-06-10,0.014229381659535197
2004-06-11,0.02001845792432251
2004-06-14,0.033526302542159575
2004-06-15,0.022871046228710463
2004-06-16,0.023575803339206308
2004-06-17,0.026646530749223928
2004-06-18,0.0108566154878765
2004-06-21,0.02511955700981626
2004-06-22,0.02350868361439718
2004-06-23,0.025589395083480158
2004-06-24,0.02251866767346254
2004-06-25,0.019095561708196998
2004-06-28,0.03204966859635876
2004-06-29,0.056867186844533936
2004-06-30,0.03852672204043964
