date,COMEX_Silver_Open,COMEX_Silver_High,COMEX_Silver_Low,COMEX_Silver_Close,COMEX_Silver_Volumn,COMEX_Silver_Open_Interest
2008-08-18,0.20448877805486287,0.39773066587040906,0.3425757575757576,0.10399658368710595,0.06714571188950208,0.19359126200815896
2008-08-19,0.1553807788221753,0.37190206031651235,0.36424242424242426,0.11120600869150196,0.03236143754982864,0.19776286353467562
2008-08-20,0.1599846537502398,0.37190206031651235,0.34909090909090906,0.1112813685347535,0.02296000248496081,0.20059876299513094
2008-08-21,0.17053520046038745,0.3735443415945058,0.3607575757575757,0.10959833203546941,0.043657655232395606,0.2099552572706935
2008-08-22,0.16938423172837136,0.3875783816064497,0.37303030303030305,0.1269310959833204,0.03767821828309916,0.20231609422292407
2008-08-25,0.19067715327066945,0.3895192594804419,0.3759090909090909,0.12057574920244168,0.04044273718433232,0.20954072904329518
2008-08-26,0.1747554191444466,0.3783218871304867,0.37000000000000005,0.1177874350021352,0.04816164670069682,0.22809580207922095
2008-08-27,0.17705735660847882,0.38309943266646757,0.3656060606060606,0.12278630460448647,0.11020283492612419,0.2613501776549546
2008-08-28,0.18146940341454054,0.38683189011645264,0.37893939393939396,0.12002311035193049,0.11827895755894016,0.28568232662192394
2008-08-29,0.17763284097448684,0.39205733054643177,0.3806060606060606,0.12346454319375019,0.16956233627732162,0.32547045663903146
2008-09-01,0.18338768463456742,0.3878769782024485,0.38272727272727275,0.12351478308925122,0.06545800933931105,0.32745098039215687
2008-09-02,0.18338768463456742,0.3878769782024485,0.38272727272727275,0.12351478308925122,0.06545800933931105,0.32745098039215687
2008-09-03,0.18818338768463455,0.3851896088384592,0.35000000000000003,0.10939737245346531,0.19170437249562544,0.3257994472956968
2008-09-04,0.1599846537502398,0.36503433860853984,0.3524242424242425,0.10442362279886458,0.11076195110839607,0.32517436504803265
2008-09-05,0.1534624976021485,0.36622872499253506,0.3545454545454545,0.10424778316461103,0.1114556693345482,0.3246611396236347
