date,Lead_Open,Lead_High,Lead_Low,Lead_Close,Lead_Volumn
2003-12-11,-0.37936589798450476,-0.38317205898129775,-0.3730576336348996,-0.37615021445632885,-0.21785093786178308
2003-12-12,-0.37999522460502083,-0.3827055903046694,-0.3714838218627875,-0.3749087495277131,-0.21785093786178308
2003-12-16,-0.37558993826140846,-0.37772992442063347,-0.3677066736097186,-0.37025325604540393,-0.21833320736532918
2003-12-17,-0.37496061164089245,-0.37835188265613795,-0.3673919112552962,-0.3708739885097118,-0.21475873928022282
2003-12-18,-0.3784219080537307,-0.38021775736265145,-0.3699100100906755,-0.3714947209740197,-0.21728356197525828
2003-12-19,-0.37496061164089245,-0.37679698706737674,-0.3664476241920289,-0.3694773404650191,-0.21566654069866253
2003-12-22,-0.3746459483306344,-0.37866286177389025,-0.3714838218627875,-0.37273618590263546,-0.2175672499185207
2003-12-23,-0.3774779181229566,-0.3755530705963678,-0.3689657230274082,-0.3674599599560185,-0.21884384566320153
2003-12-24,-0.3718139785383122,-0.3733762167721021,-0.3636147630022272,-0.364666663866633,-0.21810625701071926
2003-12-29,-0.36740869219469985,-0.3690225091235707,-0.3595228523947359,-0.36125263531293966,-0.218191363393698
2003-12-30,-0.36740869219469985,-0.3690225091235707,-0.35920809004031345,-0.3603215366164778,-0.21810625701071926
2003-12-31,-0.3639473957818616,-0.36684565529930496,-0.35543094178724455,-0.35876970545570813,-0.21810625701071926
2004-01-02,-0.36237407923057147,-0.36218096853302134,-0.35385713001513247,-0.35442457820555295,-0.20812044140788238
2004-01-05,-0.3573394662664431,-0.3612480311797646,-0.35385713001513247,-0.354114211973399,-0.2110991648121377
2004-01-06,-0.35859811950747517,-0.35844921911999444,-0.35385713001513247,-0.35752824052709237,-0.21586512225894622
2004-01-07,-0.3614300892997974,-0.36529075971054376,-0.35731951591377903,-0.35970080415216993,-0.21325519318093203
2004-01-08,-0.36331806916134557,-0.3612480311797646,-0.35826380297704624,-0.3528727470447832,-0.21634739176249232
2004-01-09,-0.35702480295618505,-0.3603150938265079,-0.3510242688253308,-0.35380384574124507,-0.21779420027313062
2004-01-12,-0.3589127828177332,-0.36155901029751686,-0.35322760530628766,-0.35597640936632263,-0.21555306552135756
2004-01-13,-0.36080076267928135,-0.36155901029751686,-0.35322760530628766,-0.3569075080627845,-0.21614881020220864
2004-01-14,-0.36205941592031343,-0.3628029267685258,-0.35480141707839974,-0.35597640936632263,-0.21379420027313062
2004-01-15,-0.3601714360587653,-0.36311390588627807,-0.35480141707839974,-0.35814897299140025,-0.21529774637242138
2004-01-16,-0.3639473957818616,-0.36373586412178255,-0.35606046649608936,-0.35752824052709237,-0.218191363393698
2004-01-19,-0.3601714360587653,-0.3634248850040303,-0.35385713001513247,-0.3565971418306305,-0.21566654069866253
2004-01-21,-0.35859811950747517,-0.35938215647325117,-0.35070950647090837,-0.35163128211616745,-0.21339703715256325
2004-01-22,-0.35545148640489493,-0.3547174697069675,-0.34693235821783946,-0.3475965210981662,-0.21609207261355615
2004-01-23,-0.3523048533023147,-0.35627236529572875,-0.3463028335089946,-0.3491483522589359,-0.21305661162064835
2004-01-26,-0.3548221597843789,-0.3581382400022422,-0.35007998176206356,-0.35101054965185957,-0.2150424272234852
2004-01-27,-0.35702480295618505,-0.3596931355910034,-0.35070950647090837,-0.354114211973399,-0.21680129247171218
2004-01-28,-0.35922744612799123,-0.35502844882471973,-0.35070950647090837,-0.3463550561695504,-0.21787930665610933
2004-01-29,-0.35167552668179863,-0.3534735532359585,-0.3444142593824602,-0.34821725356247407,-0.21229065417383983
2004-01-30,-0.35199018999205667,-0.3519186576471973,-0.3434699723191929,-0.34480322500878074,-0.21714171800362708
2004-02-02,-0.34915822019973447,-0.34538809617440025,-0.3406371111293912,-0.3401477315264716,-0.20874455488305968
2004-02-03,-0.34475293385612216,-0.34476613793889577,-0.3362304381674775,-0.3361129705084704,-0.2151559024007902
2004-02-04,-0.3397183208919938,-0.34134536764362106,-0.3311942404967189,-0.3323885757226231,-0.2103332073653292
2004-02-05,-0.33499837123812337,-0.33761361823059416,-0.32804661695249476,-0.3311471107940073,-0.2135672499185207
2004-02-06,-0.3365716877894135,-0.33668068087733743,-0.3308794781422965,-0.3280434484724679,-0.21614881020220864
2004-02-09,-0.3309077482047691,-0.3332599105820628,-0.3223808945728914,-0.3252501523830824,-0.21648923573412351
2004-02-10,-0.3324810647560592,-0.3329489314643105,-0.32489899340827066,-0.3252501523830824,-0.21441831374830791
2004-02-11,-0.330278421584253,-0.33201599411105376,-0.32332518163615864,-0.32431905368662056,-0.21492895204618026
2004-02-12,-0.32681712517141476,-0.3279732655802746,-0.3192332710286673,-0.32028429266861935,-0.21487221445752777
2004-02-13,-0.32524380862012464,-0.32455249528499996,-0.316715172193288,-0.31811172904354174,-0.21362398750717318
2004-02-16,-0.32146784889702834,-0.3239305370494955,-0.3132527862946415,-0.3153184329541563,-0.21282966126603842
2004-02-18,-0.3051053567636111,-0.30278395704234295,-0.30758706391503804,-0.311283671936155,-0.20718427119511643
2004-02-19,-0.31580390931238395,-0.3192658502832118,-0.3138823110034863,-0.3146977004898484,-0.20656015771993913
2004-02-20,-0.3151745826918679,-0.3198878085187163,-0.3110494498136846,-0.3125251368647708,-0.21299987403199586
2004-02-23,-0.3198945323457382,-0.32455249528499996,-0.3223808945728914,-0.3215257575972351,-0.1952410087837689
2004-02-24,-0.3249291453098666,-0.31429018439917594,-0.3170299345477104,-0.30631781222169197,-0.20658852651426537
2004-02-25,-0.30919597979696545,-0.31149137233940577,-0.3053837274340812,-0.3094214745432314,-0.2048863988546909
2004-02-26,-0.3151745826918679,-0.3146011635169282,-0.3097904003959949,-0.30755927715030773,-0.21274455488305968
2004-02-27,-0.3113986229687716,-0.3161560591056894,-0.30506896507965875,-0.3072489109181538,-0.2186168953085916
2004-03-01,-0.30825198986619134,-0.3055827691021131,-0.29971800505447777,-0.301041586275075,-0.21677292367738593
2004-03-02,-0.30762266324567533,-0.3124243096926625,-0.3028656285987019,-0.30662817845384593,-0.21362398750717318
2004-03-03,-0.31202794958928765,-0.3167780173411939,-0.31860374631982247,-0.32059465890077327,-0.21274455488305968
2004-03-04,-0.3283904417227049,-0.3270403282270179,-0.32489899340827066,-0.31966356020431147,-0.20576583147880437
2004-03-05,-0.3287051050329629,-0.3223756414607343,-0.32206613221846897,-0.3146977004898484,-0.21314171800362708
2004-03-08,-0.3198945323457382,-0.32299759969623876,-0.3132527862946415,-0.3156287991863102,-0.21714171800362708
2004-03-09,-0.3233558287585765,-0.3279732655802746,-0.32426946869942586,-0.3255605186152364,-0.21058852651426538
2004-03-10,-0.3283904417227049,-0.33201599411105376,-0.3226956569273138,-0.32400868745446665,-0.21796441303908806
2004-03-11,-0.3274464517919308,-0.32735130734477014,-0.3198627957375121,-0.3193531939721575,-0.21603533502490366
2004-03-12,-0.32146784889702834,-0.32517445352050445,-0.3160856474844432,-0.3199739264364654,-0.21682966126603842
2004-03-15,-0.32241183882780244,-0.32455249528499996,-0.3138823110034863,-0.3156287991863102,-0.21682966126603842
2004-03-16,-0.3183212157944481,-0.3161560591056894,-0.31010516275041733,-0.3072489109181538,-0.2130282428263221
