date,Tin_Open,Tin_High,Tin_Low,Tin_Close,Tin_Volumn
2003-12-11,-0.4046159980044198,-0.40413765136569807,-0.4008210908213405,-0.40218710365098675,-0.09072903329478343
2003-12-12,-0.40498216424389255,-0.40089907633870997,-0.4008210908213405,-0.39818855766770794,-0.08938724261412963
2003-12-16,-0.3998558368912744,-0.3973006596420565,-0.39529011737001307,-0.3960075325859195,-0.08914328067219257
2003-12-17,-0.3983911719333835,-0.39334240127573766,-0.3938151911163258,-0.39091847406174646,-0.08987516649800374
2003-12-18,-0.3921663458623473,-0.38398651786443866,-0.3875467545381547,-0.38437539881638116,-0.0875575280496017
2003-12-19,-0.3855753535518383,-0.3850660428734347,-0.38717802297473286,-0.3891009531602561,-0.08865535678831844
2003-12-22,-0.3910678471439291,-0.3911833512577456,-0.3904966070455293,-0.3889192010701071,-0.07401764027209498
2003-12-23,-0.3928986783412927,-0.38650540955209606,-0.38902168079184196,-0.3845571509065302,-0.09402251951093372
2003-12-24,-0.38667385227025647,-0.38470620120376936,-0.38201578108682727,-0.3821943737345927,-0.0930466717431855
2003-12-29,-0.3837445223544747,-0.3800282594981198,-0.3790659285794526,-0.3781958277513139,-0.09316865271415402
2003-12-30,-0.38118135867816566,-0.37840897198462575,-0.37703790498063255,-0.37546954639907837,-0.0930466717431855
2003-12-31,-0.3764211975650203,-0.3767896844711317,-0.3735349551281252,-0.37546954639907837,-0.09036309038187786
2004-01-02,-0.3760550313255476,-0.37642984280146635,-0.37242876043785966,-0.3741972817680351,-0.09194884300446873
2004-01-05,-0.376787363804493,-0.37696960530596435,-0.3751942471635234,-0.37492429012863127,-0.08487394668829405
2004-01-06,-0.3778858625229112,-0.37499047612280495,-0.38717802297473286,-0.38582941553757344,-0.0897531855270352
2004-01-07,-0.38813851722814735,-0.384346359534104,-0.38717802297473286,-0.3818308695542946,-0.07755508843018231
2004-01-08,-0.3841106885939474,-0.38110778450711585,-0.38183141530511633,-0.3781958277513139,-0.09085101426575197
2004-01-09,-0.37898436124132934,-0.3762499219666337,-0.3742724182549688,-0.37401552967788604,-0.08511790863023111
2004-01-12,-0.37715353004396573,-0.3775093678104624,-0.3764848076354998,-0.3781958277513139,-0.08694762319475904
2004-01-13,-0.3800828599597475,-0.376070001131801,-0.376116076072078,-0.3781958277513139,-0.08731356610766464
2004-01-14,-0.3797166937202748,-0.37858889281945846,-0.376116076072078,-0.37637830684982354,-0.09292469077221696
2004-01-15,-0.3797166937202748,-0.37840897198462575,-0.3831219757770927,-0.38292138209518883,-0.0897531855270352
2004-01-16,-0.38539227043210195,-0.3821873095161119,-0.3807252206148508,-0.3821943737345927,-0.0854838515431367
2004-01-19,-0.3819136911571111,-0.3821873095161119,-0.3798033917062963,-0.3816491174641456,-0.09329063368512255
2004-01-21,-0.3837445223544747,-0.38110778450711585,-0.3790659285794526,-0.37983159656265525,-0.0947544053367449
2004-01-22,-0.38081519243869294,-0.3800282594981198,-0.3810939521782727,-0.38310313418533787,-0.0863377183399164
2004-01-23,-0.38667385227025647,-0.38470620120376936,-0.3853343651576237,-0.38691992807846765,-0.08609375639797934
2004-01-26,-0.38850468346762007,-0.3861455678824307,-0.3842281704673582,-0.38437539881638116,-0.09280270980124843
2004-01-27,-0.3855753535518383,-0.38578572621276536,-0.3829376099953818,-0.3845571509065302,-0.08536187057216817
2004-01-28,-0.38630768603078375,-0.38038810116778515,-0.3816470495234054,-0.3800133486528043,-0.09072903329478343
2004-01-29,-0.37935052748080206,-0.3789487344891238,-0.37722227076234344,-0.37928634029220815,-0.08743554707863316
2004-01-30,-0.3815475249176384,-0.37930857615878916,-0.3775910023257653,-0.3771053152104197,-0.08950922358509815
2004-02-02,-0.3782520287623839,-0.3782290511497931,-0.3798033917062963,-0.3818308695542946,-0.09292469077221696
2004-02-03,-0.383378356115002,-0.3814676261767812,-0.3786971970160308,-0.37855933193161195,-0.0918268620335002
2004-02-04,-0.38081519243869294,-0.3800282594981198,-0.3764848076354998,-0.37855933193161195,-0.09426648145287078
2004-02-05,-0.3804490261992202,-0.3800282594981198,-0.376116076072078,-0.3781958277513139,-0.08999714746897226
2004-02-06,-0.38081519243869294,-0.3807479428374505,-0.378144099670898,-0.37801407566116485,-0.09085101426575197
2004-02-09,-0.3786181950018566,-0.3767896844711317,-0.373903686691547,-0.3747425380384822,-0.0897531855270352
2004-02-10,-0.37898436124132934,-0.37840897198462575,-0.37464114981839064,-0.37583305057937644,-0.09170488106253168
