date,NKY
2003-01-06,0.10440248800695032
2003-01-07,0.10082471890306093
2003-01-08,0.09209277143324811
2003-01-09,0.09084184283753671
2003-01-10,0.0891118218103525
2003-01-14,0.0943125873509525
2003-01-15,0.0980074539479483
2003-01-16,0.09784502839299432
2003-01-17,0.10294947180216822
2003-01-20,0.0946752118457335
2003-01-21,0.10410344871003893
2003-01-22,0.09796275544251529
2003-01-23,0.10928721622744617
2003-01-24,0.10555583535840647
2003-01-27,0.09786391508543078
2003-01-28,0.0925706047518918
2003-01-29,0.08033769406076481
2003-01-30,0.07943931705720149
2003-01-31,0.08089548104405642
2003-02-03,0.09102189597209814
2003-02-04,0.09002153082937762
2003-02-05,0.09411049974188192
2003-02-06,0.0899768323239446
2003-02-07,0.0877085405623198
2003-02-10,0.09002341949862132
2003-02-12,0.10130758867302102
2003-02-13,0.09724632024275696
2003-02-14,0.10368416413794843
2003-02-17,0.10808917037055689
2003-02-18,0.10312071114692586
2003-02-19,0.10220596567658434
2003-02-20,0.10047342642374187
2003-02-21,0.09182458040064978
2003-02-24,0.0950611299278529
2003-02-25,0.08218921947595725
2003-02-26,0.08195754271540272
2003-02-27,0.08211933871394213
2003-02-28,0.08234975636166765
2003-03-03,0.09036778685738028
2003-03-04,0.08972689842736806
2003-03-05,0.08924843555230992
2003-03-06,0.08273441533095781
2003-03-07,0.06856750733433224
2003-03-10,0.062154845695722834
2003-03-11,0.05083353269286465
2003-03-12,0.05590838695055466
2003-03-13,0.05121945077498399
2003-03-14,0.05966369096334723
2003-03-17,0.05141335415066549
2003-03-18,0.05662734037597112
2003-03-19,0.06270759622769799
2003-03-20,0.07177383815363693
2003-03-24,0.08688445121567344
2003-03-25,0.07452562924163639
2003-03-26,0.08164968962868766
2003-03-27,0.08270419662305942
2003-03-28,0.07713199279787464
2003-03-31,0.05777628083252543
2003-04-01,0.058658289369310425
2003-04-02,0.06389179184346715
2003-04-03,0.060611802923660016
2003-04-04,0.06416061243248009
2003-04-07,0.07523199153876178
2003-04-08,0.0677673411314388
2003-04-09,0.06312121479205753
2003-04-10,0.058242782135707195
2003-04-11,0.04794135052442051
2003-04-14,0.04388763677113111
2003-04-15,0.0493477795545259
