date,LME_Nickel
2003-12-11,0.002472187886279357
2003-12-12,0.0026748262376137307
2003-12-15,0.0008308172404709315
2003-12-16,0.0033030051267502886
2003-12-17,0.004174350037488095
2003-12-18,0.0013982046242071774
2003-12-19,0.0014792599647409268
2003-12-22,0.002573507061946544
2003-12-23,0.002289813370078421
2003-12-26,0.0013374131188068654
2003-12-29,0.0008510810756043689
2003-12-30,0.00030395752700156033
2003-12-31,0.00012158301080062413
2004-01-02,0.0007902895702040568
2004-01-05,0.004782265091491216
2004-01-06,0.004559362905023405
2004-01-07,0.007558410504772134
2004-01-08,0.0014792599647409268
2004-01-09,0.0014792599647409268
2004-01-12,0.002512715556546232
2004-01-13,0.0015197876350078016
2004-01-14,0.00482279276175809
2004-01-15,0.0020263835133437352
2004-01-16,0.0018642728322762366
2004-01-20,0.002391132545745608
2004-01-21,0.0012360939431396785
2004-01-22,0.0008510810756043689
2004-01-28,0.0013576769539403028
2004-01-29,0.0010537194269387424
2004-01-30,0.005856248353563395
2004-02-02,0.002006119678210298
2004-02-03,0.0010537194269387424
2004-02-04,0.001600842975541551
2004-02-05,0.002127702689010922
2004-02-06,0.002168230359277797
2004-02-09,0.00314089444568279
2004-02-10,0.0028774645889481044
2004-02-11,0.0017629536566090497
2004-02-12,0.0015805791404081137
2004-02-13,0.001033455591805305
2004-02-17,0.0008713449107378063
2004-02-18,0.001195566272872804
2004-02-19,0.004721473586090904
2004-02-20,0.007092342296703074
2004-02-23,0.00482279276175809
2004-02-24,0.00245192405114592
2004-02-25,0.0014184684593406148
2004-02-26,0.0007902895702040568
2004-02-27,0.00382986484021966
2004-03-01,0.0030598391051490405
2004-03-02,0.0034448519726843502
2004-03-03,0.00727471681290401
2004-03-04,0.0027558815781474804
2004-03-05,0.0012968854485399907
2004-03-08,0.0016413706458084257
2004-03-09,0.0010131917566718676
2004-03-10,0.0029990475997487285
2004-03-11,0.0034651158078177874
2004-03-12,0.005288860969827149
2004-03-15,0.0026545624024802935
2004-03-16,0.0035259073132180995
2004-03-17,0.0014995237998743642
2004-03-18,0.0009321364161381183
2004-03-19,0.0025329793916796695
2004-03-22,0.0027153539078806055
2004-03-23,0.0025329793916796695
2004-03-24,0.001661634480941863
2004-03-25,0.0008105534053374941
2004-03-26,0.0016211068106749883
2004-03-29,0.0032827412916168514
2004-03-30,0.004863320432024965
2004-03-31,0.008632393766844312
2004-04-01,0.003546171148351537
2004-04-02,0.0027356177430140427
2004-04-05,0.004032503191554034
2004-04-06,0.0014995237998743642
2004-04-07,0.0013779407890737402
2004-04-12,0.0040527670266874705
2004-04-13,0.003485379642951225
2004-04-14,0.005086222618492776
2004-04-15,0.006423635737299641
2004-04-16,0.0022695495349449838
2004-04-19,0.004843056596891528
2004-04-20,0.003647490324018724
2004-04-21,0.004194613872621532
2004-04-22,0.005775193013029646
2004-04-23,0.0011347747674724919
